Title,Family,Synonyms,Common Names,Origin,Growth Habit,Earliest Record,Tool Used For Assessment,Predictive Tool Score,North,Central,South,Assessment Dates,Counties,Questionnaires
Abelia x grandiflora,Caprifoliaceae,,"Glossy abelia, Largeflower abelia",Unknown,Shrub,1932,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 1, 2015",2,
Abrus precatorius,Fabaceae,,Rosary pea,"Africa, Asia Temperate, Asia Tropical, Australasia, Pacific",Vine,1947,,N/A,Prohibited,Prohibited,Prohibited,,30,
Abutilon hirtum,Malvaceae,"Abutilon graveolens, Sida graveolens","Indian mallow, Florida Keys Indian Mallow","Africa, Asia Temperate, Asia Tropical","Forb/Herb, Subshrub",1846,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 16, 2015",5,
Abutilon megapotamicum,Malvaceae,,Trailing abutilon,"South America, Unknown",Shrub,0,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 20, 2018",0,
Acacia auriculiformis,Fabaceae,,Earleaf acacia,"Asia Tropical, Australasia",Tree,1932,Status Assessment,N/A,Not a problem species (un-documented),Caution,Caution,"Jan 1, 2005Jan 1, 2012",13,
Acalypha amentacea subsp wilkesiana ,Euphorbiaceae,Acalypha wilkesiana,"Copperleaf, Jacob's coat, Wilkes' copperleaf",Unknown,Shrub,1958,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 16, 2015",0,
Acalypha setosa,Euphorbiaceae,,Cuban copperleaf,Unknown,Forb/Herb,1989,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 16, 2015",13,
Achyranthes aspera,Amaranthaceae,,Devil's horsewhip,"Africa, Asia Temperate, Asia Tropical, Australasia, Europe, North America-Mexico, South America","Forb/Herb, Subshrub",1913,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 17, 2015",10,
Acrocomia totai,Arecaceae,Acrocomia aculeata,Gru-gru palm,"North America-Mexico, South America",Tree,1991,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Dec 17, 2015",1,
Actinidia deliciosa,Actinidiaceae,,"Kiwi, Chinese gooseberry",Asia Temperate,Vine,,Predictive Tool,3,Evaluate Further,Evaluate Further,Evaluate Further,10-Jul-17,0,
Adenanthera pavonina,Fabaceae,,Red Sandalwood,"Asia Temperate, Asia Tropical, Australasia, Pacific",Tree,1932,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Caution,"Jan 1, 2006Jan 1, 2011May 1, 2015",4,
Agave americana,Agavaceae,,"American century plant, Century plant",North America-Mexico,"Forb/Herb, Shrub, Subshrub",1954,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 1, 2015",3,
Agave angustifolia,Agavaceae,"Agave vivipara, Agave angustifolia var letonae, Agave angustifolia var variegata, Agave angustifolia var deweyana",Century plant,"North America-Mexico, South America","Forb/Herb, Shrub, Subshrub",1979,Predictive Tool,8,High Invasion Risk,High Invasion Risk,High Invasion Risk,8-May-17,5,
Agave desmettiana,Agavaceae,,Dwarf century plant,North America-Mexico,"Forb/Herb, Shrub, Subshrub",1972,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,2,
Agave filifera,Asparagaceae,,No common name reported,North America-Mexico,"Forb/Herb, Shrub, Subshrub",0,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jun 20, 2018",0,
Agave sisalana,Agavaceae,,Sisal Hemp,"Africa, Australasia, Europe, Pacific, South America","Forb/Herb, Shrub, Subshrub",1877,Status Assessment,N/A,Not a problem species (un-documented),Caution,Caution,"Jan 1, 2006Jan 1, 2011May 1, 2015",14,
Ageratina adenophora,Asteraceae,,Crofton weed,North America-Mexico,"Forb/Herb, Subshrub",,,N/A,Prohibited,Prohibited,Prohibited,6-May-14,0,
